ORIGIN,DESTINATION,ORIGIN_PORT_CODE,DESTINATION_PORT_CODE,SERVICE_VERSION_AND_ROUNDTRIP_IDENTFIERS,ORIGIN_SERVICE_VERSION_AND_MASTER,DESTINATION_SERVICE_VERSION_AND_MASTER,ORIGIN_AT_UTC,OFFERED_CAPACITY_TEU
china_main,north_europe_main,CNSGH,NLRTM,MSC MONICA CRISTINA | 20948.000000000 | v10-s4 | v10-s4 | 3 - 3,2M - AE Sweeper || ML - AE55 | MSC - Griffin / 2M - AE Sweeper || ML - AE55 | MSC - Griffin,2M - AE Sweeper || ML - AE55 | MSC - Griffin / 2M - AE Sweeper || ML - AE55 | MSC - Griffin,2024-05-25 16:16:00.000,14812
china_main,north_europe_main,CNNSA,DEHAM,ESTELLE MAERSK | 20966.000000000 | v19-s12 | v19-s12 | 2 - 2,2M - NEUR loop 4 || ML - AE7 | MSC - Condor / 2M - NEUR loop 4 || ML - AE7 | MSC - Condor,2M - NEUR loop 4 || ML - AE7 | MSC - Condor / 2M - NEUR loop 4 || ML - AE7 | MSC - Condor,2023-12-26 06:40:00.000,17816
china_main,north_europe_main,CNTXG,DEHAM,EVER GLOBE | 21726.000000000 | v8-s4 | v8-s4 | 2 - 2,OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7 / OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7,OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7 / OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7,2024-04-05 00:59:00.000,20160
china_main,north_europe_main,CNTXG,DEHAM,EVER GIFTED | 21726.000000000 | v8-s6 | v8-s6 | 2 - 2,OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7 / OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7,OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7 / OCEAN - NEU7 || CMA - FAL8 | COSCO - AEU9 | EMC - CES | OOCL - LL7,2024-04-23 13:04:00.000,20388
china_main,north_europe_main,CNNBO,NLRTM,CMA CGM BOUGAINVILLE | 21052.000000000 | v18-s10 | v18-s10 | 2 - 2,OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4 / OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4,OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4 / OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4,2023-11-14 23:44:00.000,17722
china_main,north_europe_main,CNNBO,NLRTM,APL CHANGI | 21052.000000000 | v18-s6 | v18-s6 | 2 - 2,OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4 / OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4,OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4 / OCEAN - NEU4 || CMA - FAL1 | COSCO - AEU2 | EMC - FAL1 | OOCL - LL4,2024-01-25 02:58:00.000,13892
china_main,north_europe_main,CNXAM,NLRTM,ONE INSPIRATION | 21526.000000000 | v14-s12 | v14-s13 | 2 - 2,THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3 / THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3,THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3 / THEA - FE3 || HL - FE3 | HMM - FE3 | ONE - FE3 | YML - FE3,2023-12-16 17:41:00.000,24136
china_main,north_europe_main,CNSGH,DEHAM,EVER ARIA | 27379.000000000 | v9-s2 | v9-s2 | 3 - 3,OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6 / OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6,OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6 / OCEAN - NEU6 || CMA - FAL6 | COSCO - AEU5 | EMC - CEM | OOCL - LL6,2024-05-23 13:57:00.000,24004
china_main,north_europe_main,CNYTN,FRLEH,MSC MAURA | 20967.000000000 | v20-s6 | v20-s6 | 3 - 3,2M - NEUR loop 4 || ML - AE7 | MSC - Condor / 2M - NEUR loop 4 || ML - AE7 | MSC - Condor,2M - NEUR loop 4 || ML - AE7 | MSC - Condor / 2M - NEUR loop 4 || ML - AE7 | MSC - Condor,2024-06-26 01:36:00.000,16616
china_main,north_europe_main,CNNBO,DEHAM,MARCHEN MAERSK | 20966.000000000 | v19-s14 | v19-s14 | 2 - 2,2M - NEUR loop 4 || ML - AE7 | MSC - Condor / 2M - NEUR loop 4 || ML - AE7 | MSC - Condor,2M - NEUR loop 4 || ML - AE7 | MSC - Condor / 2M - NEUR loop 4 || ML - AE7 | MSC - Condor,2024-01-01 00:28:00.000,18300
